Number	Genename	Locus	Count	Xenbase_ID
gene9468	pdf.S	chr4S	100137680	XB-GENE-6256106
gene9469	spata17.L	chr5L	733367	XB-GENE-987844
gene9470	LOC108696212	chr7L	108696212	
gene9471	LOC108702706	chr9_10S	108702706	
gene9472	LOC108703761	Scaffold22	108703761	
gene9473	LOC108713032	chr3S	108713032	
gene9474	lrriq1.L	chr3L	108711049	XB-GENE-17341937
gene9475	prtg.L	chr3L	108711375	XB-GENE-17346629
gene9476	nr5a2.S	chr4S	397700	XB-GENE-865139
gene9477	polk.L	chr1L	446387	XB-GENE-985773
gene9478	btbd3.S	chr5S	495136	XB-GENE-975953
gene9479	ss18l1.S	chr9_10S	446990	XB-GENE-993778
gene9480	eif2a.S	chr5S	398445	XB-GENE-944999
gene9481	LOC108704693	chr1S	108704693	
gene9482	rhoq.S	chr5S	108717736	XB-GENE-6486851
gene9483	dbt.L	chr4L	447616	XB-GENE-965461
gene9484	socs6.S	chr6S	108695229	XB-GENE-17335807
gene9485	rag2.S	chr4S	100037211	XB-GENE-1018151
gene9486	slc24a5.L	chr3L	108711395	XB-GENE-17334965
gene9487	cdc42se1.L	chr8L	444029	XB-GENE-6256262
gene9488	nck1.L	chr5L	399308	XB-GENE-6254054
gene9489	utrn-like.2.S	chr5S	398351	XB-GENE-6489080
gene9490	trim65.L	chr9_10L	108701123	XB-GENE-17330842
gene9491	zbtb49.L	chr1L	444434	XB-GENE-992557
gene9492	chst6.S	chr4S	108715440	XB-GENE-17336875
gene9493	cnpy3.L	chr5L	443685	XB-GENE-6251984
gene9494	atp10d.L	chr1L	108698241	
gene9495	mapk1.L	chr1L	397785	XB-GENE-6252586
gene9496	angpt1.S	chr6S	444230	XB-GENE-865767
gene9497	LOC108698834	chr8L	108698834	
gene9498	LOC495518	chr9_10S	495518	
gene9499	was.L	chr8L	100037214	XB-GENE-5760018
gene9500	narf.L	chr9_10L	444198	XB-GENE-6255945
gene9501	mapkapk5.L	chr1L	108716917	XB-GENE-17345151
gene9502	LOC108702332	chr9_10S	108702332	
gene9503	tm2d3.S	chr2S	446547	XB-GENE-5805783
gene9504	dppa2/4.1.L	Scaffold22	734624	
gene9505	dph1.L	chr2L	443615	XB-GENE-963026
gene9506	myf5.S	chr3S	108713187	XB-GENE-17336781
gene9507	LOC108696519	chr7L	108696519	
gene9508	fam126a.S	chr6S	431909	XB-GENE-866578
gene9509	ddx23.S	chr2S	108709812	XB-GENE-17346538
gene9510	LOC108710651	chr3L	108710651	
gene9511	birc7.S	chr9_10S	398387	XB-GENE-5914085
gene9512	wars.S	chr8S	380225	XB-GENE-17342064
gene9513	trim62.S	chr7S	108697846	
gene9514	loc100485989.S	chr8S	398602	XB-GENE-5817986
gene9515	ccdc85b.S	chr4S	108715131	XB-GENE-17339344
gene9516	shank2.S	chr4S	108715235	XB-GENE-17330450
gene9517	eef2.2.L	chr1L	398780	
gene9518	asb5.S	chr1S	447171	XB-GENE-950781
gene9519	ythdf3.L	chr6L	108719271	XB-GENE-17341960
gene9520	eif5b-like.S	chr2S	108709719	
gene9521	LOC108713002	chr3S	108713002	
gene9522	hint3.L	chr5L	108716763	XB-GENE-6487514
gene9523	pou5f3.2.S	chr8S	108699882	XB-GENE-17341814
gene9524	slc2a2.S	chr5S	108718098	XB-GENE-17343960
gene9525	papss1.L	chr1L	735160	XB-GENE-947145
gene9526	LOC108697982	chr7S	108697982	
gene9527	LOC108719510	chr6L	108719510	
gene9528	cnn3.S	chr4S	108715651	XB-GENE-17337705
gene9529	ano2.L	chr3L	108710812	XB-GENE-6487310
gene9530	rasip1.S	chr7S	108697751	XB-GENE-6486870
gene9531	duoxa1.S	chr3S	108712960	XB-GENE-17336706
gene9532	cdc6.L	chr9_10L	403388	XB-GENE-974724
gene9533	LOC108703507	Scaffold20	108703507	
gene9534	LOC108696926	chr7L	108696926	
gene9535	lrat.L	chr1L	443823	XB-GENE-1000470
gene9536	gclm.L	chr4L	380105	XB-GENE-1014951
gene9537	psen2.L	chr5L	108716701	XB-GENE-17336896
gene9538	fam46a.L	Scaffold28	100158383	XB-GENE-5843515
gene9539	grm1.S	chr5S	108717837	
gene9540	wbp1l.L	Scaffold61	108704945	XB-GENE-6486092
gene9541	arpc5.L	chr4L	447274	XB-GENE-866317
gene9542	nmb.L	chr3L	108711279	
gene9543	foxo6.S	chr2S	100286797	XB-GENE-6259110
gene9544	fibin.S	chr4S	108715210	XB-GENE-17337211
gene9545	gba3.L	chr1L	447502	XB-GENE-954393
gene9546	epb41l1.S	chr9_10S	108702752	
gene9547	caprin1.S	chr4S	379865	XB-GENE-942726
gene9548	hes1.S	chr5S	379073	XB-GENE-6256448
gene9549	entpd2.S	chr8S	108699885	XB-GENE-17333655
gene9550	ifnlr1.L	Scaffold110	100381152	XB-GENE-6462108
gene9551	b4galnt3.L	Scaffold39	108704576	XB-GENE-6488633
gene9552	plekhg3.L	chr8L	108699248	XB-GENE-17332113
gene9553	pcyox1l.L	chr3L	108710939	XB-GENE-17346345
gene9554	palld.S	chr1S	108706633	XB-GENE-6487287
gene9555	MGC68910	Scaffold22	379538	
gene9556	prpsap1.S	chr9_10S	380233	XB-GENE-6486609
gene9557	prnp.S	chr3S	444620	XB-GENE-952817
gene9558	loc100490378.L	chr8L	447287	XB-GENE-6254130
gene9559	tmub2.S	chr9_10S	733376	XB-GENE-5955450
gene9560	lrriq3.L	chr4L	108713526	
gene9561	LOC108695614	chr1L	108695614	
gene9562	pvrl3.S	chr2S	108709509	XB-GENE-17338299
gene9563	hoxc12.S	chr2S	108709898	XB-GENE-17343670
gene9564	LOC108704614	Scaffold42	108704614	
gene9565	capns2.L	chr8L	108698665	XB-GENE-17345379
gene9566	fgd5.L	chr4L	108714649	XB-GENE-17344162
gene9567	ptges.S	chr8S	108699947	XB-GENE-6255938
gene9568	LOC108710460	chr3L	108710460	
gene9569	mybpc3.S	chr4S	398261	XB-GENE-865291
gene9570	sycn.L	chr8L	108698594	XB-GENE-17344427
gene9571	arl6ip4.L	chr1L	733371	XB-GENE-1188229
gene9572	LOC108714909	chr1L	108714909	
gene9573	LOC108714000	chr4L	108714000	
gene9574	prpsap2.S	chr9_10S	108703217	
gene9575	pomgnt1.S	chr4S	495292	XB-GENE-959859
gene9576	saysd1.L	chr5L	108716522	XB-GENE-6488580
gene9577	aldh2.L	chr1L	446857	XB-GENE-866006
gene9578	LOC108699302	chr8L	108699302	
gene9579	igfbp5.S	chr9_10S	108702907	XB-GENE-17343101
gene9580	LOC108710546	chr3L	108710546	
gene9581	ca6.L	chr7L	443976	XB-GENE-866311
gene9582	LOC108707687	chr2L	108707687	
gene9583	tbk1.L	chr3L	446351	XB-GENE-955455
gene9584	LOC108696254	chr7L	108696254	XB-GENE-6488607
gene9585	rpl13.S	chr4S	446306	XB-GENE-964826
gene9586	nrm.L	chr8L	444319	XB-GENE-865292
gene9587	LOC100137634	chr7L	100137634	
gene9588	LOC108707033	chr1S	108707033	
gene9589	t2r24.L	chr9_10L	108701924	
gene9590	glrx3.S	chr7S	496161	XB-GENE-866128
gene9591	agxt2.S	chr1S	108705425	XB-GENE-6488447
gene9592	myo9b.L	chr1L	100158411	XB-GENE-985046
gene9593	tm9sf1.S	chr1S	108707007	XB-GENE-17345722
gene9594	trmt5.L	chr8L	734874	XB-GENE-957552
gene9595	ephb3.L	chr5L	734241	XB-GENE-865801
gene9596	LOC108695529	chr6S	108695529	
gene9597	def8.S	chr4S	380579	XB-GENE-967887
gene9598	fam199x.L	chr8L	444174	XB-GENE-965917
gene9599	rpl23.S	chr9_10S	444350	XB-GENE-958312
gene9600	dopey2.S	chr2S	447631	XB-GENE-1217371
gene9601	fam83f.S	chr4S	108715761	XB-GENE-17338584
gene9602	pxylp1.L	chr5L	108717080	XB-GENE-6488319
gene9603	dok4.L	chr4L	380322	XB-GENE-948699
gene9604	kiaa1217.L	chr6L	108718790	XB-GENE-6485778
gene9605	fbxl16.L	Scaffold47	108704728	XB-GENE-17340416
gene9606	loc100127267.L	chr8L	100127267	XB-GENE-5844035
gene9607	lamp5.S	chr5S	108717759	XB-GENE-6488477
gene9608	champ1.L	chr2L	108707729	XB-GENE-17337843
gene9609	itih5.S	chr3S	108713045	XB-GENE-6486804
gene9610	srsf5.L	chr8L	108699194	XB-GENE-17340849
gene9611	gabarapl2.L	chr4L	734814	XB-GENE-952425
gene9612	pth1r.L	chr6L	108718686	XB-GENE-17333982
gene9613	swap70.S	chr4S	108715277	XB-GENE-6486123
gene9614	LOC108695803	chr7L	108695803	
gene9615	kit.L	chr1L	373579	XB-GENE-6253062
gene9616	abca3.S	chr9_10S	101027308	XB-GENE-6487136
gene9617	krt16.S	chr9_10S	446743	XB-GENE-6255359
gene9618	fyttd1.S	chr5S	734567	XB-GENE-1015374
gene9619	saal1.L	chr4L	446894	XB-GENE-6255086
gene9620	LOC108703971	Scaffold22	108703971	
gene9621	c5orf42.L	chr1L	108718410	XB-GENE-6488810
gene9622	slc9a8.L	chr9_10L	108701774	
gene9623	LOC108713117	chr3S	108713117	
gene9624	dvl3.L	chr5L	444527	XB-GENE-977365
gene9625	LOC108700744	chr9_10L	108700744	
gene9626	insrr.L	chr8L	398941	XB-GENE-864944
gene9627	azin1.L	chr6L	447408	XB-GENE-948402
gene9628	cdip1.L	Scaffold47	379066	XB-GENE-5752923
gene9629	znf684.L	chr9_10L	108701151	XB-GENE-17339439
gene9630	osbpl1a.L	chr6L	495678	XB-GENE-1011516
gene9631	rabl3.S	chr2S	444046	XB-GENE-6256255
gene9632	pde6c.L	chr7L	108696183	XB-GENE-17332093
gene9633	cacnb4.S	chr9_10S	108702958	
gene9634	vta1.S	chr5S	432221	XB-GENE-17341589
gene9635	usp21.S	chr8S	108700402	XB-GENE-6486849
gene9636	kdm1b.L	chr6L	108719142	XB-GENE-6487055
gene9637	hmha1.S	chr1S	108706845	XB-GENE-17330044
gene9638	spdef.S	chr2S	108709449	XB-GENE-6488422
gene9639	cps1.S	chr9_10S	108703040	
gene9640	serp2.L	chr5L	108717063	
gene9641	pddc1.L	chr4L	734963	XB-GENE-1005355
gene9642	arf1.L	chr9_10L	379749	XB-GENE-950258
gene9643	LOC108699506	chr8L	108699506	
gene9644	arhgap12.S	chr6S	380483	XB-GENE-961974
gene9645	gtf2f2.S	chr2S	398333	XB-GENE-866607
gene9646	samd7.S	Scaffold99	108705371	XB-GENE-17330718
gene9647	pmel.L	chr2L	734169	XB-GENE-6253468
gene9648	uqcc2.L	chr5L	379072	XB-GENE-5917474
gene9649	tyw1.S	chr2S	735035	XB-GENE-5955864
gene9650	egr1.L	chr3L	399162	XB-GENE-853419
gene9651	cdv3.L	chr6L	734647	XB-GENE-5805487
gene9652	mgst3.L	chr4L	495981	XB-GENE-17344882
gene9653	hp1bp3.S	chr7S	108697276	XB-GENE-6485834
gene9654	rhpn2.L	chr4L	494748	XB-GENE-966653
gene9655	cish.L	chr4L	108714605	XB-GENE-17331210
gene9656	nkx2-3.L	chr7L	100337631	XB-GENE-6464300
gene9657	skor2.L	chr1L	108718696	
gene9658	trhr2.L	chr4L	373632	XB-GENE-1018401
gene9659	itm2b.L	chr2L	380074	XB-GENE-986233
gene9660	neurod1.L	chr9_10L	378541	XB-GENE-6252655
gene9661	LOC108695663	chr1L	108695663	
gene9662	stxbp1.S	chr8S	399128	XB-GENE-17331389
gene9663	riok3.S	chr6S	398901	XB-GENE-971908
gene9664	atg5.L	chr5L	443756	XB-GENE-1012771
gene9665	smim11a.S	chr2S	108709234	XB-GENE-17346266
gene9666	brinp2.S	chr4S	108715627	XB-GENE-17341807
gene9667	scamp3.L	chr8L	446723	XB-GENE-876984
gene9668	aqp12a.S	chr5S	494822	XB-GENE-865475
gene9669	fam124b.S	chr5S	108718150	XB-GENE-17344901
gene9670	eln1.S	chr2S	108709089	
gene9671	LOC108706678	chr1S	108706678	XB-GENE-18005924
gene9672	litaf.L	chr9_10L	108701526	XB-GENE-17333825
gene9673	LOC431836	chr3L	431836	
gene9674	dse.S	chr5S	108717926	XB-GENE-17333326
gene9675	ncbp1.L	chr1L	443936	XB-GENE-5841293
gene9676	fam212b.L	chr2L	108708180	XB-GENE-6489097
gene9677	scd.S	chr7S	447633	XB-GENE-988231
gene9678	LOC108699781	chr8S	108699781	
gene9679	bnip1.L	chr3L	446551	XB-GENE-17331096
gene9680	krt8.2.S	chr9_10S	108702910	XB-GENE-17337195
gene9681	cyhr1.S	chr6S	733442	XB-GENE-5917347
gene9682	LOC108718659	chr6L	108718659	
gene9683	itsn2.L	chr5L	443694	XB-GENE-1012242
gene9684	mrps18b.S	chr8S	734739	XB-GENE-865225
gene9685	rpusd1.L	chr9_10L	108701674	XB-GENE-6489132
gene9686	pc.L	chr4L	398811	XB-GENE-952869
gene9687	ppargc1b.S	chr3S	108713242	XB-GENE-6488535
gene9688	LOC108719101	chr6L	108719101	
gene9689	ccdc68.S	chr1S	108707332	XB-GENE-17339257
gene9690	LOC108710891	chr3L	108710891	
gene9691	hace1.L	chr5L	446912	XB-GENE-5757545
gene9692	btbd8.L	chr4L	735165	XB-GENE-1000854
gene9693	tbc1d15.S	chr3S	108713145	XB-GENE-17342997
gene9694	rps6kb1.S	chr2S	394276	XB-GENE-864871
gene9695	LOC108705726	Scaffold488	108705726	
gene9696	LOC108711334	chr3L	108711334	
gene9697	rpp30.L	chr7L	494740	XB-GENE-993931
gene9698	egln2.L	chr8L	100158265	XB-GENE-961782
gene9699	ankrd55.L	chr1L	108718328	XB-GENE-17339241
gene9700	klf12.L	chr2L	108708500	XB-GENE-17334426
gene9701	ror2.S	chr1S	108707003	XB-GENE-17341001
gene9702	kcnq2.L	chr9_10L	108702040	
gene9703	zcchc10.S	chr3S	108713272	XB-GENE-17330462
gene9704	bmp3.S	chr1S	108706820	XB-GENE-17335846
gene9705	unnamed.L	chr8L	108698452	XB-GENE-18005820
gene9706	fam83h.S	chr6S	108695488	XB-GENE-17337344
gene9707	slc44a5.S	chr4S	108715507	XB-GENE-17342484
gene9708	wbp11.S	chr4S	414457	XB-GENE-966610
gene9709	tfam.S	chr7S	108697175	
gene9710	fam181b.L	chr2L	108708806	
gene9711	loc100494818.L	chr9_10L	495228	XB-GENE-5788080
gene9712	eif3j.S	chr3S	432295	XB-GENE-999882
gene9713	cnih3.L	chr5L	108716483	XB-GENE-17343160
gene9714	arnt.L	chr8L	398241	XB-GENE-17346408
gene9715	mbd5.S	chr9_10S	108702949	XB-GENE-17335380
gene9716	atp1a2.L	chr8L	108699431	XB-GENE-17346086
gene9717	gas2l3.S	chr3S	108712388	
gene9718	znf534.L	chr8L	108698264	XB-GENE-6485747
gene9719	nr4a2.S	chr9_10S	108702961	XB-GENE-17335195
gene9720	dok7.S	chr1S	108706525	XB-GENE-17337251
gene9721	ndst3.S	chr1S	108706715	
gene9722	MGC147402.S	chr8S	100126628	
gene9723	asz1.L	chr3L	414277	XB-GENE-986018
gene9724	cpb2.S	chr2S	108709798	XB-GENE-17330040
gene9725	e2f6.S	chr5S	108718246	XB-GENE-17336884
gene9726	rbm24.L	chr6L	394318	XB-GENE-866276
gene9727	LOC108719469	chr6L	108719469	XB-GENE-6487114
gene9728	abat.S	chr9_10S	398751	XB-GENE-957497
gene9729	LOC108701745	chr9_10L	108701745	
gene9730	acot12.L	chr1L	444535	XB-GENE-987300
gene9731	sde2.S	chr5S	431906	XB-GENE-6079013
gene9732	LOC108714734	chr4L	108714734	
gene9733	kctd14.S	chr2S	414602	XB-GENE-5816901
gene9734	pex19.L	chr8L	733180	XB-GENE-973481
gene9735	c9orf69.S	chr8S	108699902	XB-GENE-5732239
gene9736	LOC108700497	chr8S	108700497	
gene9737	sap130.S	chr5S	446707	XB-GENE-6083649
gene9738	LOC108709664	chr2S	108709664	
gene9739	eif3e.S	chr6S	734371	XB-GENE-6251453
gene9740	susd4.S	chr5S	108717385	XB-GENE-6487964
gene9741	mfap3.S	chr3S	100036850	XB-GENE-5784244
gene9742	cdh15.L	Scaffold51	108704818	XB-GENE-17338521
gene9743	slc1a4.L	chr5L	108716584	XB-GENE-17340868
gene9744	phf3.S	chr5S	733192	XB-GENE-6253637
gene9745	unc119b.S	chr1S	443847	XB-GENE-981107
gene9746	rdh5.S	chr2S	447549	XB-GENE-17344488
gene9747	fasn.L	chr9_10L	108701000	XB-GENE-6488905
gene9748	fam219a.S	Scaffold73	108705091	XB-GENE-6488389
gene9749	LOC108718450	chr6L	108718450	
gene9750	tmprss9.L	chr1L	108712172	XB-GENE-6487939
gene9751	nlrc3.L	chr9_10L	108701905	XB-GENE-17342708
gene9752	fam60a.L	Scaffold2549	734529	XB-GENE-995758
gene9753	card19.L	Scaffold24	108704034	XB-GENE-17345500
gene9754	colca2.L	chr7L	108696478	
gene9755	LOC108718684	chr6L	108718684	
gene9756	MGC84460.L	chr8L	108698094	
gene9757	cpsf4l.S	chr9_10S	108702698	XB-GENE-6488296
gene9758	vdac2.S	Scaffold19	734449	XB-GENE-954844
gene9759	ralb	chr3L	399470	XB-GENE-494552
gene9760	LOC108698454	chr8L	108698454	XB-GENE-17345383
gene9761	itprip.S	chr7S	108697298	XB-GENE-6488405
gene9762	c11orf57.S	Scaffold134	108705519	XB-GENE-17337113
gene9763	LOC108713627	chr4L	108713627	
gene9764	tmem59.S	chr4S	444390	XB-GENE-17331753
gene9765	npb.L	chr9_10L	108701999	XB-GENE-17337635
gene9766	mapk15.L	chr6L	734485	XB-GENE-1010341
gene9767	uggt1-like.L	chr5L	108717160	
gene9768	casq1.S	chr8S	379919	XB-GENE-5753780
gene9769	ppig.L	chr9_10L	734506	XB-GENE-17338465
gene9770	adh4	chr1L	379488	
gene9771	pdgfb.S	chr4S	493575	XB-GENE-487587
gene9772	lrrc20.L	chr7L	108696236	XB-GENE-6489323
gene9773	grpel1.L	chr1L	734538	XB-GENE-973863
gene9774	gjb7.S	chr5S	379517	XB-GENE-965096
gene9775	LOC108714417	chr4L	108714417	
gene9776	srrd.L	chr1L	100381054	XB-GENE-981066
gene9777	hsd17b2.L	chr4L	108714085	XB-GENE-17343396
gene9778	mip.L	chr2L	495140	XB-GENE-865106
gene9779	slc39a7.S	chr8S	108700216	XB-GENE-17345232
gene9780	lyg2.L	chr2L	108707532	
gene9781	stc2.L	chr3L	108710950	XB-GENE-6486854
gene9782	aatf.S	chr2S	100381006	XB-GENE-1016688
gene9783	LOC108704858	Scaffold54	108704858	
gene9784	mknk2.L	chr1L	399068	XB-GENE-866072
gene9785	ambn.S	chr1S	398954	XB-GENE-866518
gene9786	slc25a24.L	chr4L	398474	XB-GENE-976248
gene9787	vstm2b.L	chr4L	108714136	XB-GENE-6485737
gene9788	mdga1.S	chr5S	108717660	XB-GENE-17342417
gene9789	synrg.L	chr2L	108708120	XB-GENE-17345869
gene9790	smagp.S	chr2S	100127312	XB-GENE-5871270
gene9791	cdh10.L	chr6L	108718520	
gene9792	crybb2.L	chr1L	447243	XB-GENE-17339731
gene9793	arl8b.S	chr4S	108715848	XB-GENE-17344224
gene9794	ring1.S	chr8S	447471	XB-GENE-6253865
gene9795	rab5b.L	chr2L	414468	XB-GENE-6252844
gene9796	hvcn1.S	chr1S	108707165	XB-GENE-17331327
gene9797	ift74.L	chr1L	734317	XB-GENE-1015043
gene9798	mettl15.S	chr4S	443809	XB-GENE-5822298
gene9799	tnfrsf11b.L	chr6L	108719391	XB-GENE-17338376
gene9800	c2cd2.L	chr2L	108707850	XB-GENE-6485641
gene9801	adipor2.L	Scaffold39	447395	XB-GENE-991133
gene9802	dbx1.L	chr4L	108713727	XB-GENE-17334739
gene9803	rlbp1.L	chr3L	380078	XB-GENE-976309
gene9804	LOC108703185	chr9_10S	108703185	XB-GENE-17336714
gene9805	ndufa3.L	chr7L	447168	XB-GENE-6254329
gene9806	zdhhc23.L	chr2L	108707819	XB-GENE-6487003
gene9807	golph3l.L	chr8L	100036805	XB-GENE-1003095
gene9808	eml5-like.L	chr8L	108698703	
gene9809	nrf1.L	chr3L	108711242	XB-GENE-17330478
gene9810	gpr132.L	chr8L	108698809	XB-GENE-17330190
gene9811	usf3.L	chr2L	108707809	XB-GENE-17341615
gene9812	LOC108704630	Scaffold42	108704630	
gene9813	acta1.L	chr5S	432314	XB-GENE-491942
gene9814	LOC108697198	chr7S	108697198	
gene9815	pth2r.L	chr9_10L	108701870	XB-GENE-17346322
gene9816	nostrin.S	chr9_10S	108702267	
gene9817	rhd.S	chr2S	403371	XB-GENE-865619
gene9818	lhfpl1.L	chr8L	108698405	XB-GENE-17338738
gene9819	dph2.L	chr4L	446553	XB-GENE-980248
gene9820	lrrc72.L	chr6L	108718856	
gene9821	dalrd3.L	chr4L	100037020	XB-GENE-5768765
gene9822	c19orf66.L	chr3L	444483	XB-GENE-951928
gene9823	cox17.S	chr2S	447142	XB-GENE-958798
gene9824	oser1.L	chr9_10L	443717	XB-GENE-1014818
gene9825	thbs4.S	chr1S	446985	XB-GENE-1008373
gene9826	myoz2.S	chr1S	380065	XB-GENE-17344911
gene9827	cxcl8e.S	chr1S	108706768	
gene9828	LOC108697791	chr7S	108697791	
gene9829	nat8.L	chr1L	108697419	XB-GENE-17339923
gene9830	tmem63a.S	chr5S	496016	XB-GENE-5745810
gene9831	tbl1xr1.L	chr5L	398608	XB-GENE-6255786
gene9832	slc39a3.S	chr1S	108706838	XB-GENE-17333444
gene9833	LOC398702	chr9_10S	398702	
gene9834	LOC108699939	chr8S	108699939	
gene9835	LOC108704888	Scaffold57	108704888	
gene9836	znf628.S	chr7S	108697728	XB-GENE-17344827
gene9837	LOC108702417	chr9_10S	108702417	
gene9838	tm9sf2.S	chr2S	495462	XB-GENE-953111
gene9839	gsta1.L	chr5L	100036921	XB-GENE-966113
gene9840	pcolce2.S	chr5S	380191	XB-GENE-1015984
gene9841	sar1a.S	chr7S	447508	XB-GENE-6077911
gene9842	jak2.S	Scaffold98	108705365	XB-GENE-17333894
gene9843	gspt1.S	chr9_10S	399269	XB-GENE-17341420
gene9844	dido1.L	chr9_10L	494751	XB-GENE-959743
gene9845	agpat2.S	chr8S	108699908	XB-GENE-17337489
gene9846	fads1.S	chr4S	108715199	XB-GENE-17333429
gene9847	zcchc6.L	chr1L	108714670	XB-GENE-17332091
gene9848	chst5.L	chr4L	108713506	XB-GENE-17340203
gene9849	wash1.L	Scaffold39	495507	XB-GENE-5947866
gene9850	dnajc1.S	chr6S	444260	XB-GENE-950436
gene9851	paqr5.S	chr3S	108712793	XB-GENE-17341408
gene9852	rcan3.L	chr2L	108708267	XB-GENE-6489355
gene9853	slc35a1.S	chr5S	108717976	XB-GENE-17339161
gene9854	dcun1d5.S	chr2S	108709983	XB-GENE-17337282
gene9855	bcl2l11.S	chr5S	108717788	XB-GENE-17335314
gene9856	ndst1.L	chr3L	108710821	
gene9857	rnf219.L	chr2L	443579	XB-GENE-5768018
gene9858	nagpa.L	chr2L	108708030	XB-GENE-17333820
gene9859	amotl1.S	chr2S	108710012	XB-GENE-17339011
gene9860	c12orf10.S	chr2S	496075	XB-GENE-1004339
gene9861	c2orf42.S	chr3S	108712770	XB-GENE-17338782
gene9862	fut5.S	chr4S	108715192	XB-GENE-17342126
gene9863	bok.S	chr5S	100271896	XB-GENE-6251426
gene9864	ptcd2.L	chr1L	100036884	XB-GENE-985817
gene9865	mitd1.L	chr2L	734622	XB-GENE-6078869
gene9866	cygb.L	chr9_10L	108701133	XB-GENE-17340009
gene9867	acadsb.L	chr7L	494679	XB-GENE-6255604
gene9868	sertad3.L	chr8L	108698615	XB-GENE-6486294
gene9869	f13a1.L	chr6L	108719120	XB-GENE-17335292
gene9870	LOC108710488	chr3L	108710488	
gene9871	susd6.L	chr8L	379245	XB-GENE-986601
gene9872	dcaf6.S	chr2S	445867	XB-GENE-5738844
gene9873	smad7.L	chr1L	394331	XB-GENE-865569
gene9874	bcl7c.L	Scaffold22	779260	XB-GENE-6252787
gene9875	khdrbs3.L	chr6L	108719430	XB-GENE-17339391
gene9876	plac9.S	Scaffold19	108703377	
gene9877	tle2.S	Scaffold21	779361	XB-GENE-6252455
gene9878	LOC108714424	chr4L	108714424	
gene9879	slc35e4-like.L	chr1L	108717117	
gene9880	uqcr10.L	chr1S	100137668	XB-GENE-6256110
gene9881	rft1.L	chr4L	108714567	XB-GENE-17337914
gene9882	trnt1.L	chr4L	734914	XB-GENE-865137
gene9883	vamp5.S	chr3S	108712746	
gene9884	kiaa1429.S	chr6S	108695388	XB-GENE-6486036
gene9885	kif1b.L	chr7L	108696355	XB-GENE-6487702
gene9886	vsig1.L	chr8L	378558	XB-GENE-865058
gene9887	cdh20.S	chr6S	108720094	XB-GENE-17343032
gene9888	ndufb10.S	chr6S	444276	XB-GENE-5887850
gene9889	cisd3.L	chr2L	108708105	
gene9890	lonrf1.S	chr1S	108706598	
gene9891	LOC108710850	chr3L	108710850	
gene9892	loc100036854.L	Scaffold128	100036854	XB-GENE-5894694
gene9893	epc1.L	chr6L	108718470	
gene9894	prkci.S	Scaffold99	108705375	XB-GENE-17339961
gene9895	rbp4l.S	chr1S	108706779	XB-GENE-17343946
gene9896	LOC108699891	chr8S	108699891	
gene9897	LOC108707000	chr1S	108707000	
gene9898	tcaim.L	chr6L	108718944	XB-GENE-17337849
gene9899	LOC108704108	Scaffold26	108704108	
gene9900	cfap53.L	chr1L	108718643	XB-GENE-6487461
gene9901	kcnv2.L	chr1L	108695483	XB-GENE-17330491
gene9902	piwil1.L	chr1L	108716375	
gene9903	tmtc4.L	chr2L	108708472	XB-GENE-6488174
gene9904	ttc31.L	chr7L	108696171	
gene9905	gng4.S	chr5S	446597	XB-GENE-987534
gene9906	vps37b.S	chr1S	398913	XB-GENE-5715065
gene9907	LOC108698685	chr8L	108698685	
gene9908	nfasc.S	chr2S	108709439	XB-GENE-6486375
gene9909	ppp2r3a.S	chr5S	398611	XB-GENE-864940
gene9910	mex3b.L	chr3L	108711425	XB-GENE-17336684
gene9911	rpl22.S	chr7S	397904	XB-GENE-978445
gene9912	srsf10.S	Scaffold43	379343	XB-GENE-866220
gene9913	prss35.S	chr5S	108717983	XB-GENE-17334027
gene9914	anxa1.S	chr1S	379455	XB-GENE-17330548
gene9915	LOC108697580	chr1L	108697580	
gene9916	golga7b.S	chr7S	108697470	XB-GENE-17341502
gene9917	cpeb1.S	chr3S	734470	XB-GENE-6256188
gene9918	fam35a.L	chr4L	108714463	XB-GENE-6488393
gene9919	slc27a2.L	chr3L	398483	XB-GENE-1007670
gene9920	LOC108710975	chr1L	108710975	
gene9921	wwc1.L	chr3L	108710915	XB-GENE-17340157
gene9922	vasn.L	chr9_10L	108701638	XB-GENE-17333307
gene9923	naa25.L	chr1L	733434	XB-GENE-865652
gene9924	il6r.S	chr8S	108700406	
gene9925	plpp2.S	Scaffold21	443763	XB-GENE-5816606
gene9926	tbck.L	chr1L	447020	XB-GENE-994270
gene9927	dnase2b.S	chr4S	108715496	XB-GENE-17338614
gene9928	LOC108697731	chr7S	108697731	XB-GENE-6488099
gene9929	ppp1cc.S	chr1S	380598	XB-GENE-17332984
gene9930	LOC108698364	chr1L	108698364	
gene9931	LOC100497264.S	chr7L	447414	XB-GENE-986085
gene9932	LOC108706846	chr1S	108706846	
gene9933	mmp28.S	chr2S	399016	XB-GENE-984025
gene9934	slc25a53.L	chr8L	108698271	XB-GENE-6488454
gene9935	dpp4.S	chr9_10S	397888	XB-GENE-976660
gene9936	acer1.L	chr1L	108712779	XB-GENE-17341238
gene9937	nuak2.L	chr2L	108708137	XB-GENE-17344867
gene9938	mrps21.S	chr8S	108700344	XB-GENE-6488202
gene9939	ncaph2.L	chr3L	447709	XB-GENE-993069
gene9940	c12orf45.S	chr3S	100381122	XB-GENE-1006101
